 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               0               0          0.0000;
     1    0.022            1000             129              14          4.8840;
     2    0.044            1000             452             100          4.8840;
     3    0.066            1000             999             239          0.6966;
     4    0.089            1000            1527             400         -4.6276;
     5    0.111            1000            1871             489         -4.8840;
     6    0.133            1000            1946             512         -4.8840;
     7    0.155            1000            1767             463         -4.8840;
     8    0.177            1000            1331             354         -3.8431;
     9    0.199            1000             754             195          1.7350;
    10    0.221            1000             308              55          4.8840;
    11    0.243            1000              57               0          4.8840;
    12    0.266            1000              67              -3          4.8840;
    13    0.288            1000             301              59          4.8840;
    14    0.310            1000             780             177          2.8053;
    15    0.332            1000            1350             344         -2.8053;
    16    0.354            1000            1776             468         -4.8840;
    17    0.376            1000            1967             513         -4.8840;
    18    0.398            1000            1887             494         -4.8840;
    19    0.421            1000            1548             409         -4.8840;
    20    0.443            1000            1002             264         -0.7161;
    21    0.465            1000             463             104          4.7491;
    22    0.487            1000             128              10          4.8840;
    23    0.509            1000              12             -10          4.8840;
    24    0.531            1000             157              19          4.8840;
    25    0.553            1000             523             114          4.8840;
    26    0.576            1000            1095             265         -0.2540;
    27    0.598            1000            1605             424         -4.8840;
    28    0.620            1000            1930             501         -4.8840;
    29    0.642            1000            1972             519         -4.8840;
    30    0.664            1000            1761             462         -4.8840;
    31    0.686            1000            1302             345         -3.5922;
    32    0.708            1000             708             182          2.1734;
    33    0.730            1000             270              43          4.8840;
    34    0.753            1000              22              -8          4.8840;
    35    0.775            1000              41             -11          4.8840;
    36    0.797            1000             279              54          4.8840;
    37    0.819            1000             765             172          2.9774;
    38    0.841            1000            1345             343         -2.7479;
    39    0.863            1000            1785             471         -4.8840;
    40    0.885            1000            1994             519         -4.8840;
    41    0.908            1000            1928             505         -4.8840;
    42    0.930            1000            1603             423         -4.8840;
    43    0.952            1000            1062             281         -1.3114;
    44    0.974            1000             497             116          4.3810;
    45    0.996            1000             136              10          4.8840;
    46    1.018            1000             -15             -17          4.8840;
    47    1.040            1000              99               4          4.8840;
    48    1.063            1000             429              91          4.8840;
    49    1.085            1000             989             233          0.7906;
    50    1.107            1000            1536             403         -4.6941;
    51    1.129            1000            1907             497         -4.8840;
    52    1.151            1000            2007             525         -4.8840;
    53    1.173            1000            1850             484         -4.8840;
    54    1.195            1000            1437             380         -4.8559;
    55    1.217            1000             843             221          0.8095;
    56    1.240            1000             345              66          4.8840;
    57    1.262            1000              41              -7          4.8840;
    58    1.284            1000             -16             -22          4.8840;
    59    1.306            1000             163              23          4.8840;
    60    1.328            1000             578             126          4.7448;
