 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000               0               0               0;
     1    0.009               0               0               0;
     2    0.018               0               0               0;
     3    0.027               0               0               0;
     4    0.035               0               0               0;
     5    0.044               0               0               0;
     6    0.053               0               0               0;
     7    0.062               0               0               0;
     8    0.071               0               0               0;
     9    0.080               0               0               0;
    10    0.089               0               0               0;
    11    0.097               0               0               0;
    12    0.106               0               0               0;
    13    0.115               0               0               0;
    14    0.124               0               0               0;
    15    0.133               0               0               0;
    16    0.142               0               0               0;
    17    0.151               0               0               0;
    18    0.159               0               0               0;
    19    0.168               0               0               0;
    20    0.177               0               0               0;
    21    0.186               0               0               0;
    22    0.195               0               0               0;
    23    0.204               0               0               0;
    24    0.213               0               0               0;
    25    0.221               0               0               0;
    26    0.230               0               0               0;
    27    0.239               0               0               0;
    28    0.248               0               0               0;
    29    0.257               0               0               0;
    30    0.266               0               0               0;
    31    0.274               0               0               0;
    32    0.283               0               0               0;
    33    0.292               0               0               0;
    34    0.301               0               0               0;
    35    0.310               0               0               0;
    36    0.319               0               0               0;
    37    0.328               0               0               0;
    38    0.336               0               0               0;
    39    0.345               0               0               0;
    40    0.354               0               0               0;
    41    0.363               0               0               0;
    42    0.372               0               0               0;
    43    0.381               0               0               0;
    44    0.390               0               0               0;
    45    0.398               0               0               0;
    46    0.407               0               0               0;
    47    0.416               0               0               0;
    48    0.425               0               0               0;
    49    0.434               0               0               0;
    50    0.443               0               0               0;
    51    0.452               0               0               0;
    52    0.460               0               0               0;
    53    0.469               0               0               0;
    54    0.478               0               0               0;
    55    0.487               0               0               0;
    56    0.496               0               0               0;
    57    0.505               0               0               0;
    58    0.514               0               0               0;
    59    0.522               0               0               0;
    60    0.531               0               0               0;
    61    0.540               0               0               0;
    62    0.549               0               0               0;
    63    0.558               0               0               0;
    64    0.567               0               0               0;
    65    0.576               0               0               0;
    66    0.584               0               0               0;
    67    0.593               0               0               0;
    68    0.602               0               0               0;
    69    0.611               0               0               0;
    70    0.620               0               0               0;
    71    0.629               0               0               0;
    72    0.638               0               0               0;
    73    0.646               0               0               0;
    74    0.655               0               0               0;
    75    0.664               0               0               0;
    76    0.673               0               0               0;
    77    0.682               0               0               0;
    78    0.691               0               0               0;
    79    0.699               0               0               0;
    80    0.708               0               0               0;
    81    0.717               0               0               0;
    82    0.726               0               0               0;
    83    0.735               0               0               0;
